question,actual_answer,student_answer,score,feedback
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.84,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.43,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.33,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.71,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.49,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.0,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.89,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.67,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.16,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.75,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.67,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.02,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.81,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.57,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.32,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.73,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.6,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.0,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.71,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.54,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.39,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.85,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.47,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.18,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.71,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.47,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.06,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.8,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.49,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.01,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.89,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.64,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.03,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.73,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.68,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.28,Incorrect
